chr_type,enhancer,gene,promoter_up,promoter_down,encode_no
chr19,chr19:51346800-51348400,ENSG00000167751,chr19:51363824-51364823,chr19:51383824-51384823,1
chr8,chr8:144116400-144118200,ENSG00000177335,chr8:144119626-144120625,chr8:144141360-144142359,1
chrX,chrX:129134600-129134800,ENSG00000085185,chrX:129114083-129115082,chrX:129192059-129193058,1
chrX,chrX:148799200-148800200,ENSG00000185247,chrX:148768894-148769893,chrX:148798927-148799926,1
chrX,chrX:69484600-69484800,ENSG00000120500,chrX:69487155-69488154,chrX:69501691-69502690,1
chr21,chr21:40940200-40942000,ENSG00000183778,chr21:40927369-40928368,chr21:41045065-41046064,2
chr14,chr14:88799200-88799600,ENSG00000100433,chr14:88648113-88649112,chr14:88793252-88794251,2
chr6,chr6:96492000-96494000,ENSG00000172461,chr6:96462860-96463859,chr6:96663489-96664488,2
chr17,chr17:56277000-56278200,ENSG00000121053,chr17:56269098-56270097,chr17:56282536-56283535,2
chr2,chr2:39875400-39877600,ENSG00000152154,chr2:39891122-39892121,chr2:39945104-39946103,2
chrX,chrX:152915200-152917200,ENSG00000130829,chrX:152906946-152907945,chrX:152916782-152917781,2
chr11,chr11:102851800-102853200,ENSG00000137745,chr11:102812724-102813723,chr11:102826464-102827463,2
chrX,chrX:15702600-15703600,ENSG00000147003,chrX:15644441-15645440,chrX:15683155-15684154,2
chrX,chrX:111703200-111704200,ENSG00000187823,chrX:111696727-111697726,chrX:111700474-111701473,2
chr8,chr8:82463000-82465200,ENSG00000197416,chr8:82436216-82437215,chr8:82443614-82444613,2
chrX,chrX:122332000-122333400,ENSG00000125675,chrX:122317006-122318005,chrX:122624767-122625766,2
chr11,chr11:48293400-48294400,ENSG00000172208,chr11:48265608-48266607,chr11:48267623-48268622,2
chr19,chr19:51094400-51094800,ENSG00000131409,chr19:51019149-51020148,chr19:51071303-51072302,2
chr10,chr10:135034400-135035200,ENSG00000171794,chr10:135042778-135043777,chr10:135045063-135046062,2
chr12,chr12:53350600-53351400,ENSG00000111057,chr12:53341655-53342654,chr12:53346686-53347685,2
chrX,chrX:135392000-135393600,ENSG00000156920,chrX:135382122-135383121,chrX:135519216-135520215,2
chr12,chr12:54989400-54991200,ENSG00000135447,chr12:54968171-54969170,chr12:54982444-54983443,2
chrX,chrX:119013600-119015400,ENSG00000186471,chrX:119028800-119029799,chrX:119054680-119055679,2
chr5,chr5:140255600-140257400,ENSG00000250120,chr5:140234595-140235594,chr5:140391930-140392929,2
chr11,chr11:120393400-120395400,ENSG00000204306,chr11:120381511-120382510,chr11:120385733-120386732,2
chr13,chr13:28574600-28576400,ENSG00000165556,chr13:28535274-28536273,chr13:28545277-28546276,2
chr16,chr16:66901400-66902800,ENSG00000172840,chr16:66911492-66912491,chr16:66929658-66930657,2
chr9,chr9:127010000-127012000,ENSG00000119408,chr9:127018885-127019884,chr9:127115587-127116586,2
chr20,chr20:2476600-2478600,ENSG00000149488,chr20:2516253-2517252,chr20:2622431-2623430,2
chr22,chr22:23954800-23955000,ENSG00000189269,chr22:23949639-23950638,chr22:23974509-23975508,2
chr1,chr1:26543200-26543800,ENSG00000188782,chr1:26516052-26517051,chr1:26529460-26530459,2
chrX,chrX:30293400-30295200,ENSG00000169297,chrX:30321323-30322322,chrX:30327716-30328715,2
chr12,chr12:31057400-31059200,ENSG00000110900,chr12:31078362-31079361,chr12:31149535-31150534,2
chr17,chr17:61984200-61985600,ENSG00000204414,chr17:61985957-61986956,chr17:61996199-61997198,2
chr1,chr1:55485000-55486400,ENSG00000162399,chr1:55463606-55464605,chr1:55476557-55477556,2
chr17,chr17:72954000-72955600,ENSG00000182938,chr17:72930814-72931813,chr17:72946088-72947087,2
chr17,chr17:61984200-61985600,ENSG00000259384,chr17:61993560-61994559,chr17:61996180-61997179,2
chrX,chrX:139049200-139049600,ENSG00000101974,chrX:138807505-138808504,chrX:139027436-139028435,2
chr10,chr10:71802000-71803600,ENSG00000099284,chr10:71811552-71812551,chr10:71872037-71873036,2
chr20,chr20:23521200-23523400,ENSG00000101435,chr20:23544369-23545368,chr20:23549387-23550386,2
chr1,chr1:27200600-27202400,ENSG00000175793,chr1:27188633-27189632,chr1:27190948-27191947,2
chr5,chr5:140562600-140562800,ENSG00000255622,chr5:140534577-140535576,chr5:140538640-140539639,2
chr1,chr1:244498600-244501000,ENSG00000173728,chr1:244514937-244515936,chr1:244552966-244553965,2
chr17,chr17:72336000-72337200,ENSG00000204347,chr17:72351555-72352554,chr17:72358086-72359085,2
chr15,chr15:32870600-32872200,ENSG00000232653,chr15:32884657-32885656,chr15:32896180-32897179,2
chr3,chr3:71817200-71818600,ENSG00000163412,chr3:71723567-71724566,chr3:71803925-71804924,2
chr1,chr1:27193600-27195600,ENSG00000175793,chr1:27188633-27189632,chr1:27190948-27191947,2
chr4,chr4:189038800-189039600,ENSG00000184108,chr4:189059573-189060572,chr4:189068898-189069897,2
chrX,chrX:131296400-131296800,ENSG00000165694,chrX:131210021-131211020,chrX:131262049-131263048,2
chr11,chr11:120393400-120395400,ENSG00000149403,chr11:120381468-120382467,chr11:120859614-120860613,2
chr1,chr1:16357600-16360000,ENSG00000183888,chr1:16329731-16330730,chr1:16335303-16336302,2
chr4,chr4:88887400-88887800,ENSG00000118785,chr4:88895819-88896818,chr4:88904563-88905562,2
chr2,chr2:209239800-209241600,ENSG00000144407,chr2:209223438-209224437,chr2:209719228-209720227,2
chr5,chr5:169519600-169521200,ENSG00000168269,chr5:169531901-169532900,chr5:169536728-169537727,2
chr20,chr20:56784200-56785600,ENSG00000124227,chr20:56792551-56793550,chr20:56803710-56804709,2
chr5,chr5:140562600-140562800,ENSG00000120324,chr5:140570942-140571941,chr5:140575216-140576215,2
chr3,chr3:63203400-63204200,ENSG00000163630,chr3:63212991-63213990,chr3:63602598-63603597,2
chr17,chr17:8692000-8694400,ENSG00000185156,chr17:8699436-8700435,chr17:8702668-8703667,2
chr3,chr3:141523400-141525200,ENSG00000114124,chr3:141495990-141496989,chr3:141537333-141538332,2
chrX,chrX:102929400-102931600,ENSG00000179363,chrX:102964837-102965836,chrX:102968957-102969956,2
chr6,chr6:32967600-32970000,ENSG00000204252,chr6:32970955-32971954,chr6:32977390-32978389,2
chr17,chr17:8009000-8010600,ENSG00000179477,chr17:7974954-7975953,chr17:7991022-7992021,2
chr6,chr6:52053800-52056200,ENSG00000112115,chr6:52050185-52051184,chr6:52055437-52056436,2
chr15,chr15:72696600-72697400,ENSG00000187806,chr15:72689614-72690613,chr15:72700371-72701370,2
chr20,chr20:34036400-34037000,ENSG00000204183,chr20:34019827-34020826,chr20:34023249-34024248,2
chr15,chr15:50798000-50799000,ENSG00000170236,chr15:50791759-50792758,chr15:50838906-50839905,2
chr13,chr13:47024400-47026000,ENSG00000102445,chr13:46915139-46916138,chr13:47012326-47013325,2
chr13,chr13:108936800-108937000,ENSG00000102524,chr13:108902588-108903587,chr13:108960833-108961832,2
chr11,chr11:71917800-71918200,ENSG00000165462,chr11:71949121-71950120,chr11:71956709-71957708,2
chr1,chr1:237221400-237222800,ENSG00000198626,chr1:237204505-237205504,chr1:237997289-237998288,2
chr11,chr11:18979400-18981400,ENSG00000170255,chr11:18954360-18955359,chr11:18961055-18962054,2
chr11,chr11:56391800-56392800,ENSG00000255012,chr11:56379031-56380030,chr11:56380979-56381978,2
chr3,chr3:97573800-97575800,ENSG00000080200,chr3:97594819-97595818,chr3:97663811-97664810,2
chr4,chr4:80273400-80274800,ENSG00000156269,chr4:80145848-80146847,chr4:80247205-80248204,2
chrX,chrX:30293400-30295200,ENSG00000214107,chrX:30260847-30261846,chrX:30270156-30271155,2
chr12,chr12:7957600-7960000,ENSG00000111704,chr12:7939390-7940389,chr12:7948656-7949655,2
chr1,chr1:209733800-209735800,ENSG00000008118,chr1:209756062-209757061,chr1:209787284-209788283,2
chr22,chr22:19691400-19693800,ENSG00000203618,chr22:19709468-19710467,chr22:19712295-19713294,2
chr6,chr6:41137800-41140200,ENSG00000161911,chr6:41116080-41117079,chr6:41122076-41123075,2
chr16,chr16:22302600-22304800,ENSG00000058600,chr16:22307730-22308729,chr16:22346425-22347424,2
chr2,chr2:196923600-196925600,ENSG00000118997,chr2:196601427-196602426,chr2:196933537-196934536,2
chr2,chr2:220196200-220197800,ENSG00000054356,chr2:220153345-220154344,chr2:220174371-220175370,2
chr7,chr7:86296600-86298600,ENSG00000198822,chr7:86272230-86273229,chr7:86494201-86495200,2
chr3,chr3:133685200-133686400,ENSG00000221972,chr3:133645992-133646991,chr3:133648657-133649656,2
chr7,chr7:101922000-101924400,ENSG00000160999,chr7:101927405-101928404,chr7:101962179-101963178,2
chr6,chr6:39301200-39302000,ENSG00000095981,chr6:39281474-39282473,chr6:39290745-39291744,2
chr12,chr12:114827600-114830000,ENSG00000089225,chr12:114790736-114791735,chr12:114846248-114847247,2
chr18,chr18:19982000-19983400,ENSG00000212710,chr18:19992564-19993563,chr18:19997879-19998878,2
chr4,chr4:25660600-25661000,ENSG00000157765,chr4:25655923-25656922,chr4:25680371-25681370,2
chr1,chr1:18929400-18930800,ENSG00000009709,chr1:18956500-18957499,chr1:19075361-19076360,2
chr16,chr16:6093200-6095400,ENSG00000078328,chr16:6068095-6069094,chr16:7763341-7764340,2
chr12,chr12:54949400-54949800,ENSG00000135447,chr12:54968171-54969170,chr12:54982444-54983443,2
chr12,chr12:2953800-2956200,ENSG00000206044,chr12:2957397-2958396,chr12:2966214-2967213,2
chr19,chr19:5430400-5431200,ENSG00000105428,chr19:5454426-5455425,chr19:5456868-5457867,2
chr8,chr8:56035400-56037800,ENSG00000253976,chr8:56046763-56047762,chr8:56054919-56055918,2
chr5,chr5:57841000-57842600,ENSG00000250127,chr5:57836394-57837393,chr5:57854071-57855070,2
chr5,chr5:140255600-140257400,ENSG00000249158,chr5:140247689-140248688,chr5:140391930-140392929,2
chr12,chr12:54972000-54974400,ENSG00000135447,chr12:54968171-54969170,chr12:54982444-54983443,2
chr3,chr3:71850600-71853000,ENSG00000163412,chr3:71723567-71724566,chr3:71803925-71804924,2
chr1,chr1:55487000-55488400,ENSG00000162399,chr1:55463606-55464605,chr1:55476557-55477556,2
chr4,chr4:8556000-8556800,ENSG00000155269,chr4:8559452-8560451,chr4:8621487-8622486,2
chr1,chr1:29133600-29134200,ENSG00000116329,chr1:29137654-29138653,chr1:29190209-29191208,2
chrX,chrX:119708400-119708800,ENSG00000232119,chrX:119726865-119727864,chrX:119754930-119755929,2
chr22,chr22:17616200-17616800,ENSG00000069998,chr22:17617401-17618400,chr22:17646178-17647177,2
chr17,chr17:61984200-61985600,ENSG00000136487,chr17:61956578-61957577,chr17:61959296-61960295,2
chr9,chr9:138619400-138621800,ENSG00000165643,chr9:138584253-138585252,chr9:138591375-138592374,3
chr2,chr2:119971800-119973800,ENSG00000115107,chr2:119980384-119981383,chr2:120023229-120024228,3
chr19,chr19:6457400-6459800,ENSG00000125648,chr19:6435090-6436089,chr19:6465215-6466214,3
chr11,chr11:5545600-5547200,ENSG00000213931,chr11:5288582-5289581,chr11:5526848-5527847,3
chr14,chr14:51358400-51360000,ENSG00000131969,chr14:51337878-51338877,chr14:51371689-51372688,3
chr11,chr11:18156000-18157400,ENSG00000179826,chr11:18141502-18142501,chr11:18160028-18161027,3
chr12,chr12:113897200-113897400,ENSG00000089116,chr12:113898839-113899838,chr12:113910086-113911085,3
chr19,chr19:40901400-40903000,ENSG00000160396,chr19:40884178-40885177,chr19:40896095-40897094,3
chr11,chr11:120941600-120943800,ENSG00000109927,chr11:120970882-120971881,chr11:121062203-121063202,3
chr20,chr20:43742600-43744800,ENSG00000168703,chr20:43751066-43752065,chr20:43753107-43754106,3
chr6,chr6:167730200-167731400,ENSG00000120440,chr6:167737574-167738573,chr6:167772992-167773991,3
chr5,chr5:145713000-145714400,ENSG00000091010,chr5:145717587-145718586,chr5:145720084-145721083,3
chr6,chr6:90038600-90040600,ENSG00000111886,chr6:89965927-89966926,chr6:90025019-90026018,3
chr4,chr4:88755200-88757600,ENSG00000152595,chr4:88741563-88742562,chr4:88767970-88768969,3
chr15,chr15:78639200-78641400,ENSG00000166426,chr15:78631666-78632665,chr15:78640573-78641572,3
chr19,chr19:18358400-18359600,ENSG00000105650,chr19:18317771-18318770,chr19:18366230-18367229,3
chrX,chrX:119223600-119225400,ENSG00000101883,chrX:119242011-119243010,chrX:119249848-119250847,3
chr16,chr16:75171200-75173600,ENSG00000166816,chr16:75144758-75145757,chr16:75150670-75151669,3
chr22,chr22:30065600-30067200,ENSG00000100314,chr22:30115073-30116072,chr22:30127829-30128828,3
chr8,chr8:6958000-6958600,ENSG00000164816,chr8:6911831-6912830,chr8:6914257-6915256,3
chr19,chr19:51188200-51189800,ENSG00000213023,chr19:51123564-51124563,chr19:51171652-51172651,3
chr8,chr8:21893800-21895800,ENSG00000158815,chr8:21898909-21899908,chr8:21906321-21907320,3
chr11,chr11:68433800-68436000,ENSG00000069482,chr11:68450247-68451246,chr11:68458644-68459643,3
chr7,chr7:141970800-141972000,ENSG00000258223,chr7:141950963-141951962,chr7:141957879-141958878,3
chr13,chr13:112998200-112999000,ENSG00000153498,chr13:113029633-113030632,chr13:113089004-113090003,3
chr1,chr1:75102800-75103800,ENSG00000178965,chr1:75032795-75033794,chr1:75139423-75140422,3
chr17,chr17:61946600-61947800,ENSG00000136487,chr17:61956578-61957577,chr17:61959296-61960295,3
chr9,chr9:846600-848400,ENSG00000137090,chr9:840690-841689,chr9:969091-970090,3
chr19,chr19:12957800-12959200,ENSG00000132026,chr19:12935292-12936291,chr19:12946243-12947242,3
chr1,chr1:910000-912200,ENSG00000187642,chr1:909579-910578,chr1:917498-918497,3
chr6,chr6:50676600-50677400,ENSG00000008197,chr6:50680541-50681540,chr6:50740702-50741701,3
chr7,chr7:105257600-105259400,ENSG00000185055,chr7:105204567-105205566,chr7:105241323-105242322,3
chr9,chr9:105799400-105801400,ENSG00000155833,chr9:105756593-105757592,chr9:105780771-105781770,3
chr13,chr13:113046000-113047000,ENSG00000153498,chr13:113029633-113030632,chr13:113089004-113090003,3
chr3,chr3:30949800-30951800,ENSG00000144644,chr3:30766692-30767691,chr3:30936258-30937257,3
chr8,chr8:6960800-6962400,ENSG00000164816,chr8:6911831-6912830,chr8:6914257-6915256,3
chr16,chr16:1288000-1288600,ENSG00000095917,chr16:1305060-1306059,chr16:1308533-1309532,3
chr6,chr6:30957800-30959000,ENSG00000204544,chr6:30950495-30951494,chr6:30957681-30958680,3
chr4,chr4:8578800-8580600,ENSG00000109625,chr4:8593387-8594386,chr4:8621489-8622488,3
chr2,chr2:98932600-98934600,ENSG00000222000,chr2:98946852-98947851,chr2:98972469-98973468,3
chr7,chr7:87338400-87339200,ENSG00000085563,chr7:87132175-87133174,chr7:87342612-87343611,3
chr13,chr13:25714200-25714600,ENSG00000165566,chr13:25734822-25735821,chr13:25746427-25747426,3
chr4,chr4:88758200-88758800,ENSG00000152595,chr4:88741563-88742562,chr4:88767970-88768969,3
chr1,chr1:168218600-168220400,ENSG00000143178,chr1:168249278-168250277,chr1:168283665-168284664,3
chr9,chr9:849200-849800,ENSG00000137090,chr9:840690-841689,chr9:969091-970090,3
chrX,chrX:49148000-49150000,ENSG00000215274,chrX:49159148-49160147,chrX:49176324-49177323,3
chr5,chr5:170724400-170724800,ENSG00000164438,chr5:170735288-170736287,chr5:170739139-170740138,3
chr6,chr6:44106000-44107600,ENSG00000137225,chr6:44125548-44126547,chr6:44152140-44153139,3
chr19,chr19:40888400-40890200,ENSG00000160396,chr19:40884178-40885177,chr19:40896095-40897094,3
chr12,chr12:9072200-9073800,ENSG00000111752,chr12:9065492-9066491,chr12:9094064-9095063,3
chr7,chr7:99679400-99681800,ENSG00000168090,chr7:99685577-99686576,chr7:99689824-99690823,3
chr11,chr11:43558400-43560400,ENSG00000149084,chr11:43576986-43577985,chr11:43878168-43879167,3
chr8,chr8:56090000-56091000,ENSG00000253857,chr8:56073043-56074042,chr8:56077288-56078287,3
chr1,chr1:47134400-47136600,ENSG00000123472,chr1:47097409-47098408,chr1:47139540-47140539,3
chr14,chr14:76383000-76385000,ENSG00000119650,chr14:76367479-76368478,chr14:76550929-76551928,3
chr19,chr19:58174600-58177000,ENSG00000180532,chr19:58179303-58180302,chr19:58190521-58191520,3
chr8,chr8:133460200-133462200,ENSG00000184156,chr8:133132108-133133107,chr8:133493201-133494200,3
chr2,chr2:87058800-87061000,ENSG00000229615,chr2:87088023-87089022,chr2:87092828-87093827,3
chr6,chr6:49764600-49765200,ENSG00000170950,chr6:49752366-49753365,chr6:49755054-49756053,3
chr22,chr22:32773600-32775400,ENSG00000128276,chr22:32749872-32750871,chr22:32757149-32758148,3
chr12,chr12:57692800-57694400,ENSG00000185482,chr12:57636236-57637235,chr12:57644977-57645976,3
chr13,chr13:112996400-112997600,ENSG00000153498,chr13:113029633-113030632,chr13:113089004-113090003,3
chr1,chr1:120221400-120223200,ENSG00000092621,chr1:120201421-120202420,chr1:120286839-120287838,3
chr1,chr1:156556000-156557800,ENSG00000187862,chr1:156548519-156549518,chr1:156556563-156557562,3
chr20,chr20:59810600-59812600,ENSG00000179242,chr20:59826482-59827481,chr20:60515674-60516673,3
chr16,chr16:49411400-49412000,ENSG00000166152,chr16:49406734-49407733,chr16:49433343-49434342,3
chr12,chr12:128720400-128722000,ENSG00000181234,chr12:128750948-128751947,chr12:129192461-129193460,3
chr4,chr4:8865800-8866600,ENSG00000215612,chr4:8846802-8847801,chr4:8873544-8874543,3
chr20,chr20:53126200-53128600,ENSG00000101134,chr20:53091136-53092135,chr20:53267711-53268710,3
chr2,chr2:233398600-233400200,ENSG00000196811,chr2:233403437-233404436,chr2:233411114-233412113,3
chrX,chrX:150159600-150159800,ENSG00000029993,chrX:150147982-150148981,chrX:150159249-150160248,3
chr15,chr15:23072600-23073000,ENSG00000170113,chr15:23042277-23043276,chr15:23100006-23101005,3
chr12,chr12:29930600-29932600,ENSG00000133687,chr12:29652773-29653772,chr12:29937693-29938692,3
